,客户编号,客户公司名称,客户公司编号,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,第一选择基金,第二选择基金,第三选择基金,第四选择基金
1935,C1936,公司10,1010025,5.0,13.0,20.25098305,188.0,0.713127219,1.0,13.0,67.0,13.96143377,7.0,0.01338816,3.0,9.0,11.35086079,32.77735436,79.0,8.666630694,8.0,65.48088891,8.0,18.98172986,,86.0,30.0,9.126204813,0.0,61.72741041,6.640614834,19.12242143,4.0,1.0,85.0,15.02176446,1.0,9.0,4.0,8.0,18.0,7.0,73.73417325,J0096,  ,  ,  
6494,C6495,公司17,2917264,9.0,37.0,29.09784445,123.0,0.838531397,1.0,15.0,103.0,3.448078266,5.0,0.457390398,12.0,54.0,9.773388616,27.65141295,5.0,30.6388911,65.0,15.67396247,7.0,13.00053644,,27.0,2.0,12.511654,0.0,8.844100115,5.065638313,82.20873548,3.0,1.0,1.0,2.871653756,1.0,3.0,6.0,12.0,2.0,40.0,5.258184739,  ,  ,  ,  
1720,C1721,公司19,3644281,1.0,51.0,9.431343973,199.0,0.876763484,1.0,15.0,104.0,15.02781878,11.0,0.685400022,6.0,12.0,1.923560689,21.16803741,83.0,5.867353468,5.0,71.25869473,17.0,4.63397262,,26.0,33.0,5.98546149,0.0,-999999999.0,5.002146634,21.61122552,3.0,1.0,65.0,9.860940993,1.0,4.0,2.0,7.0,88.0,90.0,82.65436846,J0173,J0098,J0136,  
9120,C9121,公司17,2917264,5.0,18.0,8.295461891,145.0,0.781207416,1.0,1.0,41.0,10.7473457,34.0,0.131840293,8.0,17.0,7.284491949,31.4046644,66.0,10.04238806,55.0,1.563316204,14.0,15.85111708,,54.0,69.0,16.13020225,0.0,34.87721356,2.76041042,30.03132423,4.0,1.0,60.0,18.54046401,1.0,6.0,6.0,5.0,83.0,63.0,88.84017093,  ,  ,  ,  
360,C0361,公司4,161604,9.0,35.0,20.71284666,114.0,0.389655573,1.0,9.0,92.0,29.13036323,56.0,0.457375169,9.0,49.0,8.619950203,25.00412169,59.0,22.44886206,57.0,85.85563386,8.0,11.51935462,,33.0,51.0,19.31018808,0.0,17.99439233,8.003612803,16.248359,3.0,1.0,29.0,9.693223447,1.0,3.0,3.0,4.0,74.0,19.0,38.4210485,  ,  ,  ,  
9663,C9664,公司11,1221025,1.0,57.0,32.49505952,148.0,0.618709281,1.0,2.0,164.0,2.93974615,46.0,0.279257007,7.0,47.0,0.702435846,25.0306056,83.0,28.51266652,23.0,19.70586529,7.0,8.151711202,,84.0,41.0,16.30357632,0.0,65.31249882,8.351212909,47.89395056,5.0,1.0,30.0,2.5029122,1.0,10.0,3.0,3.0,94.0,69.0,58.28916565,J0112,J0161,  ,  
5277,C5278,公司3,90601,3.0,62.0,7.683053271,21.0,0.409845669,1.0,7.0,103.0,20.15188687,30.0,0.287868267,7.0,46.0,13.39415469,25.70568199,15.0,25.59900648,80.0,51.47574696,4.0,12.86582973,,40.0,7.0,18.31854168,0.0,42.87945042,16.3700986,47.98134493,2.0,1.0,96.0,13.22863522,1.0,7.0,2.0,8.0,69.0,68.0,1.815063359,J0120,J0024,  ,  
8546,C8547,公司4,161604,4.0,19.0,16.33348875,177.0,0.813116074,1.0,4.0,2.0,17.72805917,62.0,0.364834535,11.0,14.0,16.91226869,23.59099574,91.0,32.19141565,19.0,63.40235372,14.0,19.90872264,,28.0,7.0,14.78986361,0.0,91.75977286,15.91903636,71.09961034,5.0,1.0,53.0,12.11293586,1.0,12.0,3.0,11.0,87.0,41.0,45.48735731,  ,  ,  ,  
2221,C2222,公司6,363609,8.0,48.0,21.68722399,134.0,0.603521401,1.0,8.0,71.0,31.0447511,43.0,0.879437399,10.0,48.0,17.59555296,15.09056163,8.0,4.528525733,89.0,50.26645638,17.0,12.54087865,,,36.0,9.108635058,0.0,88.40150154,15.65061838,36.56510899,2.0,1.0,22.0,13.69640995,1.0,12.0,3.0,1.0,32.0,13.0,86.29560629,  ,  ,  ,  
4617,C4618,公司2,40401,7.0,32.0,11.73332585,184.0,0.012370411,1.0,8.0,168.0,28.27849385,54.0,0.458406203,6.0,37.0,15.89621221,4.481916878,83.0,25.44375726,36.0,21.45393749,14.0,4.094205594,,68.0,57.0,9.667268991,0.0,82.71568169,14.92261222,63.81555548,5.0,1.0,,12.66635261,1.0,12.0,2.0,8.0,65.0,37.0,91.23511876,  ,  ,  ,  
