,客户编号,客户公司名称,客户公司编号,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,第一选择基金,第二选择基金,第三选择基金,第四选择基金
9182,C9183,公司16,2585664,4.0,25.0,13.81835093,22.0,0.949058189,1.0,,93.0,29.90001542,49.0,0.056878778,8.0,57.0,10.4465554,33.69525156,30.0,20.35897506,23.0,45.683517,16.0,1.214978436,,72.0,14.0,9.600460979,0.0,13.27849598,12.1437581,80.15595693,2.0,1.0,38.0,8.799912236,1.0,6.0,3.0,3.0,27.0,18.0,68.63728418,  ,  ,  ,  
11091,C11092,公司4,161604,10.0,46.0,8.894728302,24.0,0.548566667,1.0,13.0,81.0,18.82548947,28.0,0.723003164,10.0,68.0,5.449081551,26.43787855,25.0,30.23230159,93.0,82.70493935,18.0,16.21360573,,72.0,55.0,9.428581614,0.0,22.4392862,12.8804149,73.66408268,1.0,1.0,23.0,10.48078198,1.0,1.0,6.0,4.0,38.0,71.0,87.02912706,  ,  ,  ,  
6428,C6429,公司5,252004,7.0,13.0,31.50490163,167.0,0.999031617,1.0,16.0,95.0,9.354648656,61.0,0.445717399,10.0,23.0,3.187729262,7.64379706,86.0,1.817572168,35.0,52.54266484,12.0,16.01376068,,28.0,26.0,11.85866991,0.0,70.53348798,15.22870776,31.68509615,5.0,1.0,83.0,15.27796594,1.0,2.0,1.0,3.0,12.0,11.0,17.16488424,  ,  ,  ,  
288,C0289,公司5,252004,7.0,61.0,24.39788332,23.0,0.897400737,1.0,5.0,,22.20608142,7.0,0.059347215,4.0,49.0,0.013340617,32.6717842,79.0,27.01829881,45.0,4.117358265,10.0,0.422363894,30.79791663,85.0,48.0,5.167529703,0.0,31.84233181,15.97946466,54.16273326,1.0,1.0,5.0,10.46065875,1.0,12.0,2.0,1.0,92.0,46.0,54.90552273,J0043,J0106,  ,  
2626,C2627,公司12,1454436,4.0,10.0,31.88165863,34.0,0.611718893,1.0,8.0,125.0,0.454023605,68.0,0.172671838,5.0,48.0,18.57741746,14.0822292,28.0,31.37340621,4.0,1.082785955,15.0,15.88979491,,27.0,9.0,12.9290749,0.0,71.95672364,11.52626191,71.26374572,5.0,1.0,47.0,14.64417978,1.0,7.0,3.0,2.0,72.0,71.0,7.318593932,J0062,  ,  ,  
8862,C8863,公司1,10000,9.0,46.0,19.07025134,92.0,0.314941349,1.0,17.0,103.0,,35.0,0.436652204,5.0,30.0,15.74874285,11.31133992,14.0,24.04181993,47.0,61.12939658,,17.25863621,,41.0,60.0,1.588198193,,71.51475164,12.23585361,36.63976273,4.0,1.0,2.0,18.72996308,1.0,8.0,6.0,12.0,45.0,45.0,16.91772863,  ,  ,  ,  
3684,C3685,公司20,4040100,3.0,31.0,19.72677399,121.0,0.786283205,1.0,11.0,176.0,33.47708584,49.0,0.41384696,4.0,51.0,6.207238867,7.042402967,48.0,22.69913207,84.0,45.32110126,12.0,0.816484512,,27.0,58.0,12.92470648,0.0,89.77679157,8.752661109,48.85023059,4.0,1.0,8.0,18.93118948,1.0,12.0,7.0,10.0,8.0,30.0,86.72887021,  ,  ,  ,  
7971,C7972,公司7,494209,1.0,38.0,28.14301707,199.0,0.716304835,1.0,15.0,2.0,14.39626865,32.0,0.581635895,5.0,18.0,11.06901093,22.09547939,5.0,29.53366703,18.0,59.03011967,1.0,7.849730318,,6.0,13.0,0.741744803,0.0,44.10236392,3.816520669,33.36181557,4.0,1.0,74.0,1.094222249,1.0,5.0,2.0,10.0,65.0,41.0,85.79276806,J0047,  ,  ,  
6950,C6951,公司10,1010025,5.0,64.0,21.71700995,,0.120175146,1.0,3.0,91.0,0.039937005,11.0,0.712744995,2.0,3.0,3.047383628,19.47365563,94.0,21.06833717,14.0,84.12453651,13.0,9.627636225,,25.0,68.0,0.737641976,0.0,57.98600803,11.78578042,63.48242628,2.0,1.0,25.0,12.30801089,1.0,2.0,2.0,6.0,78.0,17.0,27.03434668,  ,  ,  ,  
388,C0389,公司10,1010025,11.0,64.0,8.658762473,166.0,0.880829363,1.0,14.0,159.0,7.44140772,11.0,0.243857565,12.0,2.0,13.10715664,30.18303072,48.0,8.919899826,48.0,1.130881681,13.0,10.03320511,,36.0,44.0,11.12534552,0.0,35.54764539,14.89148601,1.174979501,1.0,1.0,88.0,12.22174582,1.0,12.0,4.0,9.0,52.0,96.0,66.09848724,  ,  ,  ,  
836,C0837,公司16,2585664,2.0,3.0,22.68709588,120.0,0.442193476,1.0,5.0,101.0,32.91459837,46.0,0.584798524,12.0,19.0,11.74959337,16.73093932,41.0,11.13085351,19.0,32.44817364,5.0,4.506477981,,85.0,21.0,1.540788447,0.0,1.605977511,8.868407157,54.29479112,5.0,1.0,21.0,19.60184208,1.0,11.0,2.0,6.0,4.0,18.0,44.82268455,J0089,  ,  ,  
9023,C9024,公司9,817216,7.0,13.0,5.004296451,131.0,,1.0,12.0,138.0,3.060821439,17.0,0.67683854,8.0,38.0,12.22256343,11.76099345,33.0,3.452868826,32.0,83.68380267,3.0,19.47198313,,13.0,68.0,14.44619902,0.0,71.53054377,13.04984597,72.01889051,5.0,1.0,27.0,11.66196224,1.0,6.0,6.0,12.0,6.0,14.0,75.54055338,  ,  ,  ,  
3181,C3182,公司8,646416,8.0,58.0,23.96146968,70.0,0.572283714,1.0,9.0,2.0,13.42331778,39.0,0.60689222,10.0,2.0,6.323633959,0.038690193,93.0,25.61879519,83.0,83.83582955,15.0,17.29448471,,65.0,54.0,6.939783937,0.0,87.14223256,15.01186905,48.33177089,5.0,1.0,5.0,18.0870226,1.0,12.0,6.0,1.0,22.0,1.0,45.45337344,  ,  ,  ,  
280,C0281,公司5,252004,10.0,51.0,3.718211068,8.0,0.722705096,1.0,1.0,159.0,27.8173839,39.0,0.413927314,12.0,33.0,10.78676358,5.798973461,51.0,16.62779808,31.0,83.5992988,11.0,5.219455599,,12.0,20.0,8.769687137,0.0,57.53682702,14.85476785,28.51505513,4.0,1.0,12.0,14.20146167,1.0,8.0,7.0,7.0,29.0,77.0,58.75163142,  ,  ,  ,  
8113,C8114,公司2,40401,10.0,50.0,24.02521016,133.0,0.86433232,1.0,14.0,164.0,6.977840957,5.0,0.023508279,5.0,5.0,6.352157454,9.282560625,22.0,21.71117925,44.0,46.03365665,6.0,2.175544462,2.69320328,24.0,31.0,18.88228661,0.0,36.30836933,,48.0159035,2.0,1.0,56.0,13.36844533,1.0,7.0,1.0,5.0,56.0,15.0,85.26627543,  ,  ,  ,  
4459,C4460,公司7,494209,10.0,60.0,7.51204721,174.0,0.338414251,1.0,12.0,52.0,1.348484595,25.0,0.788218289,2.0,16.0,11.66839354,23.71035632,22.0,3.3373312,85.0,42.81447266,13.0,14.04174786,,69.0,24.0,5.91214182,0.0,69.60006393,19.35831479,11.09527037,3.0,1.0,78.0,5.509072785,1.0,2.0,3.0,8.0,15.0,38.0,81.86463323,J0080,  ,  ,  
